"delivery_id","city","customer_id","scheduled_datetime","delivered_datetime","status","delay_minutes","carrier","distance_km","weight_kg"
"D00031","Gqeberha","17996","2025-06-17 08:00:00","2025-06-17 18:06:00","Delivered","0","MegaHaul","21","49.7"
"D00032","Cape Town","13444","2025-05-06 08:00:00","2025-05-07 02:40:00","Delivered","0","RoadRunner","501","27.9"
"D00033","Durban","15088","2025-06-21 10:00:00","2025-06-22 02:27:00","Delivered","0","MegaHaul","1284","24.5"
"D00034","Cape Town","15854","2025-06-23 15:00:00","2025-06-24 14:26:00","Delivered","0","RoadRunner","630","30.9"
"D00035","Bloemfontein","17806","2025-05-27 15:00:00","2025-05-28 05:04:00","Delivered","0","RoadRunner","1421","35.3"
"D00036","Cape Town","15801","2025-06-24 15:00:00","2025-06-25 07:20:00","Delivered","0","SwiftX","832","25.8"
"D00037","Durban","12368","2025-05-08 17:00:00","2025-05-09 01:50:00","Delivered","0","SwiftX","858","16.7"
"D00038","Johannesburg","11148","2025-05-22 15:00:00","2025-05-23 03:09:00","Delivered","100","RoadRunner","686","41.2"
"D00039","Cape Town","13124","2025-06-29 17:00:00","2025-06-29 18:08:00","Delivered","4","MegaHaul","1378","27.3"
"D00040","Durban","16799","2025-05-13 07:00:00","2025-05-13 18:35:00","Delivered","0","MegaHaul","661","20.2"
"D00041","Cape Town","19561","2025-06-06 15:00:00","2025-06-06 18:33:00","Delivered","37","RoadRunner","1155","35"
"D00042","Cape Town","10512","2025-06-16 07:00:00","2025-06-17 03:36:00","Delivered","57","RoadRunner","901","47.8"
"D00043","Pretoria","10580","2025-05-22 12:00:00","2025-05-23 07:19:00","Delivered","0","SkyDrop","1463","38"
"D00044","Johannesburg","19435","2025-05-05 06:00:00","2025-05-05 08:33:00","Delivered","0","RoadRunner","1016","9.2"
"D00045","Johannesburg","12479","2025-05-21 12:00:00","2025-05-22 12:02:00","Delivered","70","RoadRunner","361","20.2"
"D00046","Durban","12849","2025-06-21 15:00:00","2025-06-22 04:41:00","Delivered","0","SwiftX","773","27.2"
"D00047","Pretoria","12839","2025-05-16 12:00:00","2025-05-16 18:02:00","Delivered","45","MegaHaul","694","28.9"
"D00048","Johannesburg","12738","2025-06-12 10:00:00","2025-06-13 08:56:00","Delivered","25","SwiftX","1445","32.7"
"D00049","Johannesburg","14107","2025-05-31 07:00:00","2025-06-01 05:16:00","Delivered","0","SwiftX","780","19.6"
"D00050","Pretoria","10417","2025-06-20 14:00:00","2025-06-21 11:19:00","Delivered","0","RoadRunner","1103","43.9"
"D00051","Pretoria","17164","2025-06-26 09:00:00","2025-06-26 17:36:00","Delivered","0","SwiftX","743","49.5"
"D00052","Cape Town","15104","2025-06-08 13:00:00","2025-06-09 01:02:00","Delivered","0","RoadRunner","41","12.3"
"D00053","Durban","12914","2025-06-10 06:00:00","2025-06-10 08:29:00","Delivered","28","SkyDrop","733","16.3"
"D00054","Gqeberha","10395","2025-06-10 08:00:00","2025-06-10 10:39:00","Delivered","24","SwiftX","855","24.9"
"D00055","Johannesburg","17266","2025-05-12 14:00:00","2025-05-13 06:47:00","Delivered","0","SwiftX","1179","39.2"
"D00056","Johannesburg","15161","2025-06-27 12:00:00","2025-06-27 20:07:00","Delivered","30","SwiftX","1161","37"
"D00057","Durban","16801","2025-06-16 17:00:00","2025-06-17 11:12:00","Delivered","0","SkyDrop","496","43.4"
"D00058","Gqeberha","11191","2025-06-11 14:00:00","2025-06-12 06:45:00","Delivered","0","RoadRunner","1222","4.5"
"D00059","Johannesburg","19580","2025-05-01 11:00:00","2025-05-01 20:46:00","Delivered","27","SkyDrop","1098","35.6"
"D00060","Cape Town","15301","2025-06-08 16:00:00","2025-06-09 04:53:00","Delivered","0","MegaHaul","43","22"
"D00061","Johannesburg","19435","2025-06-27 09:00:00","2025-06-27 17:55:00","Delivered","0","RoadRunner","899","32.6"
"D00062","Pretoria","10504","2025-06-29 06:00:00","2025-06-29 21:36:00","Delivered","53","SwiftX","1145","48.2"
"D00063","Johannesburg","16316","2025-06-16 10:00:00","2025-06-16 12:57:00","Delivered","38","MegaHaul","1430","8.7"
"D00064","Johannesburg","13486","2025-05-01 10:00:00","2025-05-02 08:22:00","Delivered","0","SkyDrop","975","14.4"
"D00065","Bloemfontein","18549","2025-05-12 13:00:00","2025-05-13 01:29:00","Delivered","22","MegaHaul","1150","9.8"
"D00066","Cape Town","17483","2025-06-19 17:00:00","2025-06-20 06:18:00","Delivered","7","RoadRunner","963","27"
"D00067","Cape Town","12779","2025-06-17 08:00:00","2025-06-18 06:16:00","Delivered","0","MegaHaul","887","36.4"
"D00068","Durban","10009","2025-06-25 07:00:00","2025-06-26 05:14:00","Delivered","0","RoadRunner","1147","20.9"
"D00069","Pretoria","18415","2025-06-16 06:00:00","2025-06-16 21:12:00","Delivered","0","RoadRunner","1245","48.5"
"D00070","Gqeberha","14000","2025-06-03 14:00:00","2025-06-04 10:15:00","Delivered","33","SwiftX","775","28"
"D00071","Pretoria","14809","2025-05-10 08:00:00","2025-05-11 06:04:00","Delivered","96","SwiftX","461","6.9"
"D00072","Bloemfontein","17939","2025-05-01 06:00:00","2025-05-01 15:07:00","Delivered","0","SwiftX","1376","13.8"
"D00073","Johannesburg","18865","2025-06-23 11:00:00","2025-06-24 01:16:00","Delivered","26","RoadRunner","393","4.9"
"D00074","Pretoria","14719","2025-06-16 12:00:00","2025-06-17 09:30:00","Delivered","0","SwiftX","582","40.3"
"D00075","Gqeberha","16881","2025-06-07 07:00:00","2025-06-07 09:37:00","Delivered","0","MegaHaul","1363","22.2"
"D00076","Gqeberha","14261","2025-06-02 13:00:00","2025-06-03 13:44:00","Delivered","66","MegaHaul","763","26.4"
"D00077","Pretoria","17043","2025-05-10 13:00:00","2025-05-11 12:33:00","Delivered","0","SwiftX","988","2.8"
"D00078","Durban","14300","2025-06-12 16:00:00","2025-06-12 19:24:00","Delivered","34","RoadRunner","364","35"
"D00079","Cape Town","13266","2025-05-27 07:00:00","2025-05-27 09:00:00","Delivered","0","MegaHaul","1431","41.2"
"D00080","Cape Town","13900","2025-05-22 10:00:00","2025-05-23 00:57:00","Delivered","0","RoadRunner","550","6.9"
"D00081","Cape Town","17240","2025-05-26 14:00:00","2025-05-26 15:46:00","Delivered","0","SkyDrop","243","25.8"
"D00082","Johannesburg","13644","2025-05-17 15:00:00","2025-05-18 05:23:00","Delivered","0","MegaHaul","629","30.1"
"D00083","Bloemfontein","10638","2025-06-25 11:00:00","2025-06-25 20:45:00","Delivered","0","SkyDrop","82","23.4"
"D00084","Pretoria","15126","2025-05-03 12:00:00","2025-05-04 01:29:00","Delivered","0","RoadRunner","1302","22.6"
"D00085","Durban","18152","2025-06-24 10:00:00","2025-06-24 11:39:00","Delivered","12","SkyDrop","1301","11"
"D00086","Cape Town","14632","2025-05-17 09:00:00","2025-05-17 10:24:00","Delivered","0","MegaHaul","71","32.6"
"D00087","Cape Town","14206","2025-05-22 07:00:00","2025-05-22 18:22:00","Delivered","0","MegaHaul","1397","28.4"
"D00088","Cape Town","12739","2025-05-26 07:00:00","2025-05-26 13:14:00","Delivered","0","SwiftX","1405","12.2"
"D00089","Johannesburg","11605","2025-06-24 09:00:00","2025-06-25 08:53:00","Delivered","0","RoadRunner","827","42.2"
"D00090","Johannesburg","11063","2025-06-06 09:00:00","2025-06-07 01:19:00","Delivered","0","SkyDrop","1350","29"
"D00091","Gqeberha","18837","2025-06-23 06:00:00","2025-06-23 15:23:00","Delivered","0","SkyDrop","578","46.5"
"D00092","Durban","16316","2025-06-13 10:00:00","2025-06-13 16:25:00","Delivered","0","MegaHaul","840","21.6"
"D00093","Durban","16283","2025-06-16 06:00:00","2025-06-16 08:29:00","Delivered","0","SwiftX","143","46.6"
"D00094","Cape Town","13744","2025-05-06 07:00:00","2025-05-06 08:09:00","Delivered","0","SkyDrop","1196","40.6"
"D00095","Johannesburg","12832","2025-05-09 16:00:00","2025-05-10 08:39:00","Delivered","29","SwiftX","1447","17.8"
"D00096","Bloemfontein","10235","2025-06-19 10:00:00","2025-06-19 17:15:00","Delivered","0","RoadRunner","592","19.3"
"D00097","Bloemfontein","15951","2025-05-29 13:00:00","2025-05-30 04:32:00","Delivered","0","MegaHaul","802","41.3"
"D00098","Johannesburg","17546","2025-05-14 15:00:00","2025-05-15 01:42:00","Delivered","9","SkyDrop","300","22.9"
"D00099","Pretoria","17804","2025-06-07 06:00:00","2025-06-08 01:23:00","Delivered","57","MegaHaul","997","12"
"D00100","Gqeberha","14033","2025-05-14 10:00:00","2025-05-14 12:43:00","Delivered","0","SkyDrop","202","47"
